intervals,notation,name
#three tone chords
0-4-7,,major
0-3-7,m,minor
0-4-8,aug,augmented
0-4-6,dim,diminished
0-5-7,sus4,suspended 2nd
0-2-7,sus2,suspended 2nd
#four tone chords
0-4-7-11,maj7,major seventh
0-4-7-10,7,dominant 7th
0-3-7-10,min7,minor 7th
0-3-6-10,half-dim7,half diminished 7th
0-3-6-9,dim7,diminished 7th
0-4-7-9,6,6th
0-3-7-9,m6,minor 6th
#9th chords
0-4-7-14,add9,add 9
0-4-7-11-14,maj7(9),major 9th
0-4-7-10-14,7(9),dominant 9th
0-3-7-10-14,m7(9),minor 9th
0-4-7-9-14,6/9,six/nine
0-4-9-14,6/9,six/nine (no 5th)
0-3-7-10-17,m11,minor 11th
#13th chords
0-4-7-11-14-21,7(13),major 13th
0-4-11-14-21,7(13),major 13th (no 5th)
0-4-7-11-21,7(13),major 13th (no 9th)
0-4-11-21,7(13),"major 13th (no 5th, 9th)"
#misc
0-4-18-10,7(#11),sharp 11th
